Year,Period,Age,IsAdult,Hourly_36h,Hourly_38h,Hourly_40h,Hourly_Statutory
2002,January,23+,True,7.73,7.33,6.96,
2002,January,22,False,6.57,6.23,5.92,
2002,January,21,False,5.61,5.31,5.05,
2002,January,20,False,4.76,4.51,4.28,
2002,January,19,False,4.06,3.85,3.65,
2002,January,18,False,3.52,3.33,3.17,
2002,January,17,False,3.05,2.89,2.75,
2002,January,16,False,2.67,2.53,2.4,
2002,January,15,False,2.32,2.2,2.09,
2002,July,23+,True,7.9,7.48,7.11,
2002,July,22,False,6.71,6.36,6.04,
2002,July,21,False,5.72,5.42,5.15,
2002,July,20,False,4.86,4.6,4.37,
2002,July,19,False,4.15,3.93,3.73,
2002,July,18,False,3.59,3.4,3.23,
2002,July,17,False,3.12,2.95,2.81,
2002,July,16,False,2.72,2.58,2.45,
2002,July,15,False,2.37,2.24,2.13,
2003,January,23+,True,8.01,7.59,7.21,
2003,January,22,False,6.81,6.45,6.13,
2003,January,21,False,5.81,5.5,5.23,
2003,January,20,False,4.93,4.67,4.43,
2003,January,19,False,4.2,3.98,3.78,
2003,January,18,False,3.64,3.45,3.28,
2003,January,17,False,3.16,3.0,2.85,
2003,January,16,False,2.76,2.62,2.49,
2003,January,15,False,2.4,2.28,2.16,
2003,July,23+,True,8.07,7.65,7.27,
2003,July,22,False,6.86,6.5,6.18,
2003,July,21,False,5.85,5.55,5.27,
2003,July,20,False,4.97,4.7,4.47,
2003,July,19,False,4.24,4.02,3.82,
2003,July,18,False,3.67,3.48,3.31,
2003,July,17,False,3.19,3.02,2.87,
2003,July,16,False,2.79,2.64,2.51,
2003,July,15,False,2.42,2.29,2.18,
2004,January,23+,True,8.11,7.68,7.3,
2004,January,22,False,6.89,6.53,6.2,
2004,January,21,False,5.88,5.57,5.29,
2004,January,20,False,4.99,4.72,4.49,
2004,January,19,False,4.26,4.03,3.83,
2004,January,18,False,3.69,3.5,3.32,
2004,January,17,False,3.2,3.03,2.88,
2004,January,16,False,2.8,2.65,2.52,
2004,January,15,False,2.43,2.3,2.19,
2004,July,23+,True,8.11,7.68,7.3,
2004,July,22,False,6.89,6.53,6.2,
2004,July,21,False,5.88,5.57,5.29,
2004,July,20,False,4.99,4.72,4.49,
2004,July,19,False,4.26,4.03,3.83,
2004,July,18,False,3.69,3.5,3.32,
2004,July,17,False,3.2,3.03,2.88,
2004,July,16,False,2.8,2.65,2.52,
2004,July,15,False,2.43,2.3,2.19,
2005,January,23+,True,8.11,7.68,7.3,
2005,January,22,False,6.89,6.53,6.2,
2005,January,21,False,5.88,5.57,5.29,
2005,January,20,False,4.99,4.72,4.49,
2005,January,19,False,4.26,4.03,3.83,
2005,January,18,False,3.69,3.5,3.32,
2005,January,17,False,3.2,3.03,2.88,
2005,January,16,False,2.8,2.65,2.52,
2005,January,15,False,2.43,2.3,2.19,
2005,July,23+,True,8.11,7.68,7.3,
2005,July,22,False,6.89,6.53,6.2,
2005,July,21,False,5.88,5.57,5.29,
2005,July,20,False,4.99,4.72,4.49,
2005,July,19,False,4.26,4.03,3.83,
2005,July,18,False,3.69,3.5,3.32,
2005,July,17,False,3.2,3.03,2.88,
2005,July,16,False,2.8,2.65,2.52,
2005,July,15,False,2.43,2.3,2.19,
2006,January,23+,True,8.11,7.68,7.3,
2006,January,22,False,6.89,6.53,6.2,
2006,January,21,False,5.88,5.57,5.29,
2006,January,20,False,4.99,4.72,4.49,
2006,January,19,False,4.26,4.03,3.83,
2006,January,18,False,3.69,3.5,3.32,
2006,January,17,False,3.2,3.03,2.88,
2006,January,16,False,2.8,2.65,2.52,
2006,January,15,False,2.43,2.3,2.19,
2006,July,23+,True,8.23,7.8,7.41,
2006,July,22,False,7.0,6.63,6.3,
2006,July,21,False,5.97,5.66,5.37,
2006,July,20,False,5.06,4.8,4.56,
2006,July,19,False,4.32,4.1,3.89,
2006,July,18,False,3.75,3.55,3.37,
2006,July,17,False,3.25,3.08,2.93,
2006,July,16,False,2.84,2.69,2.56,
2006,July,15,False,2.47,2.34,2.22,
2007,January,23+,True,8.34,7.9,7.5,
2007,January,22,False,7.09,6.71,6.38,
2007,January,21,False,6.05,5.73,5.44,
2007,January,20,False,5.13,4.86,4.62,
2007,January,19,False,4.38,4.15,3.94,
2007,January,18,False,3.79,3.59,3.41,
2007,January,17,False,3.29,3.12,2.96,
2007,January,16,False,2.88,2.73,2.59,
2007,January,15,False,2.5,2.37,2.25,
2007,July,23+,True,8.44,8.0,7.6,
2007,July,22,False,7.18,6.8,6.46,
2007,July,21,False,6.12,5.8,5.51,
2007,July,20,False,5.19,4.92,4.67,
2007,July,19,False,4.43,4.2,3.99,
2007,July,18,False,3.84,3.64,3.46,
2007,July,17,False,3.33,3.16,3.0,
2007,July,16,False,2.91,2.76,2.62,
2007,July,15,False,2.53,2.4,2.28,
2008,January,23+,True,8.56,8.11,7.7,
2008,January,22,False,7.27,6.89,6.55,
2008,January,21,False,6.2,5.88,5.58,
2008,January,20,False,5.26,4.99,4.74,
2008,January,19,False,4.49,4.26,4.04,
2008,January,18,False,3.89,3.69,3.5,
2008,January,17,False,3.38,3.2,3.04,
2008,January,16,False,2.95,2.8,2.66,
2008,January,15,False,2.57,2.43,2.31,
2008,July,23+,True,8.7,8.24,7.83,
2008,July,22,False,7.39,7.0,6.65,
2008,July,21,False,6.3,5.97,5.67,
2008,July,20,False,5.35,5.07,4.81,
2008,July,19,False,4.57,4.33,4.11,
2008,July,18,False,3.96,3.75,3.56,
2008,July,17,False,3.43,3.25,3.09,
2008,July,16,False,3.0,2.84,2.7,
2008,July,15,False,2.61,2.47,2.35,
2009,January,23+,True,8.85,8.39,7.97,
2009,January,22,False,7.53,7.13,6.77,
2009,January,21,False,6.42,6.08,5.78,
2009,January,20,False,5.45,5.16,4.9,
2009,January,19,False,4.65,4.4,4.18,
2009,January,18,False,4.03,3.82,3.63,
2009,January,17,False,3.5,3.31,3.15,
2009,January,16,False,3.05,2.89,2.75,
2009,January,15,False,2.66,2.52,2.39,
2009,July,23+,True,8.97,8.49,8.07,
2009,July,22,False,7.62,7.22,6.86,
2009,July,21,False,6.5,6.16,5.85,
2009,July,20,False,5.51,5.22,4.96,
2009,July,19,False,4.71,4.46,4.24,
2009,July,18,False,4.08,3.86,3.67,
2009,July,17,False,3.54,3.35,3.19,
2009,July,16,False,3.09,2.93,2.78,
2009,July,15,False,2.69,2.55,2.42,
