Year,Section,Leeftijd,Per maand,Per week,Per dag,Fulltime werkweek in bedrijf,21 jaar en ouder,20 jaar,19 jaar,18 jaar,17 jaar,16 jaar,15 jaar,22 jaar en ouder,21 jaar,Column_9,Column_8,Minimumloon per uur
2019,"Per maand, week en dag",21 jaar en ouder,"€ 1635,60","€ 377,45","€ 75,49",,,,,,,,,,,,,
2019,"Per maand, week en dag",20 jaar,"€ 1308,50","€ 301,95","€ 60,39",,,,,,,,,,,,,
2019,"Per maand, week en dag",19 jaar,"€ 981,35","€ 226,45","€ 45,29",,,,,,,,,,,,,
2019,"Per maand, week en dag",18 jaar,"€ 817,80","€ 188,75","€ 37,75",,,,,,,,,,,,,
2019,"Per maand, week en dag",17 jaar,"€ 646,05","€ 149,10","€ 29,82",,,,,,,,,,,,,
2019,"Per maand, week en dag",16 jaar,"€ 564,30","€ 130,20","€ 26,04",,,,,,,,,,,,,
2019,"Per maand, week en dag",15 jaar,"€ 490,70","€ 113,25","€ 22,65",,,,,,,,,,,,,
2019,Per uur,,,,,36 uur,"€ 10,49","€ 8,39","€ 6,30","€ 5,25","€ 4,15","€ 3,62","€ 3,15",,,,,
2019,Per uur,,,,,38 uur,"€ 9,94","€ 7,95","€ 5,96","€ 4,97","€ 3,93","€ 3,43","€ 2,99",,,,,
2019,Per uur,,,,,40 uur,"€ 9,44","€ 7,55","€ 5,67","€ 4,72","€ 3,73","€ 3,26","€ 2,84",,,,,
2019,"Per maand, week en dag",22 jaar en ouder,"€ 1.615,80","€ 372,90","€ 74,58",,,,,,,,,,,,,
2019,"Per maand, week en dag",21 jaar,"€ 1.373,45","€ 316,95","€ 63,39",,,,,,,,,,,,,
2019,"Per maand, week en dag",20 jaar,"€ 1.131,05","€ 261,05","€ 52,21",,,,,,,,,,,,,
2019,"Per maand, week en dag",19 jaar,"€ 888,70","€ 205,10","€ 41,02",,,,,,,,,,,,,
2019,"Per maand, week en dag",18 jaar,"€ 767,50","€ 177,15","€ 35,43",,,,,,,,,,,,,
2019,"Per maand, week en dag",17 jaar,"€ 638,25","€ 147,30","€ 29,46",,,,,,,,,,,,,
2019,"Per maand, week en dag",16 jaar,"€ 557,45","€ 128,65","€ 25,73",,,,,,,,,,,,,
2019,"Per maand, week en dag",15 jaar,"€ 484,75","€ 111,85","€ 22,37",,,,,,,,,,,,,
2019,Per uur,,,,,36 uur,,"€ 7,26","€ 5,70","€ 4,93","€ 4,10","€ 3,58","€ 3,11","€ 10,36","€ 8,81",,,
2019,Per uur,,,,,38 uur,,"€ 6,87","€ 5,40","€ 4,67","€ 3,88","€ 3,39","€ 2,95","€ 9,82","€ 8,35",,,
2019,Per uur,,,,,40 uur,,"€ 6,53","€ 5,13","€ 4,43","€ 3,69","€ 3,22","€ 2,80","€ 9,33","€ 7,93",,,
2020,"Per maand, week en dag",21 jaar en ouder,"€ 1.680,00","€ 387,70","€ 77,54",,,,,,,,,,,,,
2020,"Per maand, week en dag",20 jaar,"€ 1.344,00","€ 310,15","€ 62,03",,,,,,,,,,,,,
2020,"Per maand, week en dag",19 jaar,"€ 1.008,00","€ 232,60","€ 46,52",,,,,,,,,,,,,
2020,"Per maand, week en dag",18 jaar,"€ 840,00","€ 193,85","€ 38,77",,,,,,,,,,,,,
2020,"Per maand, week en dag",17 jaar,"€ 663,60","€ 153,15","€ 30,63",,,,,,,,,,,,,
2020,"Per maand, week en dag",16 jaar,"€ 579,60","€ 133,75","€ 26,75",,,,,,,,,,,,,
2020,"Per maand, week en dag",15 jaar,"€ 504,00","€ 116,30","€ 23,26",,,,,,,,,,,,,
2020,Per uur,,,,,36 uur,"€ 10,77","€ 8,62","€ 6,47","€ 5,39","€ 4,26","€ 3,72","€ 3,24",,,,,
2020,Per uur,,,,,38 uur,"€ 10,21","€ 8,17","€ 6,13","€ 5,11","€ 4,04","€ 3,52","€ 3,07",,,,,
2020,Per uur,,,,,40 uur,"€ 9,70","€ 7,76","€ 5,82","€ 4,85","€ 3,83","€ 3,35","€ 2,91",,,,,
2020,"Per maand, week en dag",21 jaar en ouder,"€ 1.653,60","€ 381,60","€ 76,32",,,,,,,,,,,,,
2020,"Per maand, week en dag",20 jaar,"€ 1.322,90","€ 305,30","€ 61,06",,,,,,,,,,,,,
2020,"Per maand, week en dag",19 jaar,"€ 992,15","€ 228,95","€ 45,79",,,,,,,,,,,,,
2020,"Per maand, week en dag",18 jaar,"€ 826,80","€ 190,80","€ 38,16",,,,,,,,,,,,,
2020,"Per maand, week en dag",17 jaar,"€ 653,15","€ 150,75","€ 30,15",,,,,,,,,,,,,
2020,"Per maand, week en dag",16 jaar,"€ 570,50","€ 131,65","€ 26,33",,,,,,,,,,,,,
2020,"Per maand, week en dag",15 jaar,"€ 496,10","€ 114,50","€ 22,90",,,,,,,,,,,,,
2020,Per uur,,,,,36 uur,"€ 10,60","€ 8,49","€ 6,36","€ 5,30","€ 4,19","€ 3,66","€ 3,19",,,,,
2020,Per uur,,,,,38 uur,"€ 10,05","€ 8,04","€ 6,03","€ 5,03","€ 3,97","€ 3,47","€ 3,02",,,,,
2020,Per uur,,,,,40 uur,"€ 9,54","€ 7,64","€ 5,73","€ 4,77","€ 3,77","€ 3,30","€ 2,87",,,,,
2021,"Per maand, week en dag",21 jaar en ouder,"€ 1.701,00","€ 392,55","€ 78,51",,,,,,,,,,,,,
2021,"Per maand, week en dag",20 jaar,"€ 1360,80","€ 314,05","€ 62,81",,,,,,,,,,,,,
2021,"Per maand, week en dag",19 jaar,"€ 1020,60","€ 235,55","€ 47,11",,,,,,,,,,,,,
2021,"Per maand, week en dag",18 jaar,"€ 850,50","€ 196,30","€ 39,26",,,,,,,,,,,,,
2021,"Per maand, week en dag",17 jaar,"€ 671,90","€ 155,05","€ 31,01",,,,,,,,,,,,,
2021,"Per maand, week en dag",16 jaar,"€ 586,85","€ 135,45","€ 27,09",,,,,,,,,,,,,
2021,"Per maand, week en dag",15 jaar,"€ 510,30","€ 117,75","€ 23,55",,,,,,,,,,,,,
2021,Per uur,,,,,36 uur,"€ 10,91","€ 8,73","€ 6,55","€ 5,46","€ 4,31","€ 3,77","€ 3,28",,,,,
2021,Per uur,,,,,38 uur,"€ 10,34","€ 8,27","€ 6,20","€ 5,17","€ 4,09","€ 3,57","€ 3,10",,,,,
2021,Per uur,,,,,40 uur,"€ 9,82","€ 7,86","€ 5,89","€ 4,91","€ 3,88","€ 3,39","€ 2,95",,,,,
2021,"Per maand, week en dag",21 jaar en ouder,"€ 1.684,80","€ 388,80","€ 77,76",,,,,,,,,,,,,
2021,"Per maand, week en dag",20 jaar,"€ 1.347,85","€ 311,05","€ 62,21",,,,,,,,,,,,,
2021,"Per maand, week en dag",19 jaar,"€ 1.010,90","€ 233,30","€ 46,66",,,,,,,,,,,,,
2021,"Per maand, week en dag",18 jaar,"€ 842,40","€ 194,40","€ 38,88",,,,,,,,,,,,,
2021,"Per maand, week en dag",17 jaar,"€ 665,50","€ 153,60","€ 30,72",,,,,,,,,,,,,
2021,"Per maand, week en dag",16 jaar,"€ 581,25","€ 134,15","€ 26,83",,,,,,,,,,,,,
2021,"Per maand, week en dag",15 jaar,"€ 505,45","€ 116,65","€ 23,33",,,,,,,,,,,,,
2021,Per uur,,,,,36 uur,"€ 10,80","€ 8,65","€ 6,49","€ 5,40","€ 4,27","€ 3,73","€ 3,25",,,,,
2021,Per uur,,,,,38 uur,"€ 10,24","€ 8,19","€ 6,14","€ 5,12","€ 4,05","€ 3,54","€ 3,07",,,,,
2021,Per uur,,,,,40 uur,"€ 9,72","€ 7,78","€ 5,84","€ 4,86","€ 3,84","€ 3,36","€ 2,92",,,,,
2022,"Per maand, week en dag",21 jaar en ouder,"€ 1.756,20","€ 405,30","€ 81,06",,,,,,,,,,,,,
2022,"Per maand, week en dag",20 jaar,"€ 1.404,95","€ 324,25","€ 64,85",,,,,,,,,,,,,
2022,"Per maand, week en dag",19 jaar,"€ 1.053,70","€ 243,20","€ 48,64",,,,,,,,,,,,,
2022,"Per maand, week en dag",18 jaar,"€ 878,10","€ 202,65","€ 40,53",,,,,,,,,,,,,
2022,"Per maand, week en dag",17 jaar,"€ 693,70","€ 160,10","€ 32,02",,,,,,,,,,,,,
2022,"Per maand, week en dag",16 jaar,"€ 605,90","€ 139,85","€ 27,97",,,,,,,,,,,,,
2022,"Per maand, week en dag",15 jaar,"€ 526,85","€ 121,60","€ 24,32",,,,,,,,,,,,,
2022,Per uur,,,,,36 uur,"€ 11,26","€ 9,01","€ 6,76","€ 5,63","€ 4,45","€ 3,89","€ 3,38",,,,,
2022,Per uur,,,,,38 uur,"€ 10,67","€ 8,54","€ 6,40","€ 5,34","€ 4,22","€ 3,69","€ 3,20",,,,,
2022,Per uur,,,,,40 uur,"€ 10,14","€ 8,11","€ 6,08","€ 5,07","€ 4,01","€ 3,50","€ 3,04",,,,,
2022,"Per maand, week en dag",21 jaar en ouder,"€ 1.725,00","€ 398,10","€ 79,62",,,,,,,,,,,,,
2022,"Per maand, week en dag",20 jaar,"€ 1.380,00","€ 318,50","€ 63,70",,,,,,,,,,,,,
2022,"Per maand, week en dag",19 jaar,"€ 1.035,00","€ 238,85","€ 47,77",,,,,,,,,,,,,
2022,"Per maand, week en dag",18 jaar,"€ 862,50","€ 199,05","€ 39,81",,,,,,,,,,,,,
2022,"Per maand, week en dag",17 jaar,"€ 681,40","€ 157,25","€ 31,45",,,,,,,,,,,,,
2022,"Per maand, week en dag",16 jaar,"€ 595,15","€ 137,35","€ 27,47",,,,,,,,,,,,,
2022,"Per maand, week en dag",15 jaar,"€ 517,50","€ 119,45","€ 23,89",,,,,,,,,,,,,
2022,Per uur,,,,,36 uur,"€ 11,06","€ 8,85","€ 6,64","€ 5,53","€ 4,37","€ 3,82","€ 3,32",,,,,
2022,Per uur,,,,,38 uur,"€ 10,48","€ 8,39","€ 6,29","€ 5,24","€ 4,14","€ 3,62","€ 3,15",,,,,
